Country	Population	Total Cases	Total Deaths	Total Tests	Vaccinations Per Date
Tanzania	59734213	1367	50	0	105745
Thailand	69799978	885275	7343	9201621	5033568
Timor	1318442	12272	29	167505	115874
Togo	8278737	17581	165	425908	153637
Tonga	105697	0	0	0	18712
Trinidad and Tobago	1399491	41676	1173	283910	292963
Tunisia	11818618	622262	21745	2369269	1488800
Turkey	84339067	6059776	53005	61455218	32546912
Turkmenistan	6031187	0	0	0	9753
Uganda	45741000	96678	2863	1511089	4129
Ukraine	43733759	2354008	56126	11627179	2718680
United Arab Emirates	9890400	700587	1997	69026966	7210000
United Kingdom	67886004	6270673	131210	228640287	40372981
United States	331002647	36640271	621253	499128115	168090925
Uruguay	3473727	383212	6001	3170831	2398684
Uzbekistan	33469199	142124	970	0	1232807
Vanuatu	307150	4	1	0	114
Venezuela	28435943	318185	3789	0	1100000
Vietnam	97338583	265464	5437	9819987	1271973
World	7794798729	206807509	4354756	0	1832776738
Yemen	29825968	7273	1401	0	13322
Zambia	18383956	202078	3521	2168413	212694
Zimbabwe	14862927	119853	4090	1031309	1180207
